隨機  random
測項  test item
對比機 reference set
畫面  screen
消失  disappear
顯示  display
背景  background
十字  cross
位置  position
聲音  sound
無聲  no sound
播放  playback
執行  execute
對齊  alignment
黑屏  black screen
比例  ratio
錯誤  error
全屏  full screen
卡頓  not smooth
花屏  garbage video
破音  noise
藍屏  blue screen
抖動  flicker
跳動  flicker
閃爍  flicker
字幕  subtitle
問題  issue
影片  video
髒畫面 garbage
掃台 scan
倒轉  rewind
恢復  resume
錄影  record
童鎖  parental lock
快進  forward
語言  language
切換  change
信號  signal
碼流  stream
節目  program
自動  auto
手動  manual
遙控器 remote controller
音軌  sound track
頻道  channel
排序  sorting
區域  region
電源  power
量測  measure
網路  network
耳機  headphone
音量  volume
藍芽  bluetooth
時間  time
顏色  color
異常  abnormal
破圖  abnormal
符號  symbol
搜台  scan
菜單  menu
